SKU,HSN,GST
KKA0301-DKT,84799090,18
KKA0099-GBBWL,39241090,18
KKA0084-MCPC,82055190,18
KKA0123-GMC,39269099,18
KKA0212-SSDPC,73239390,5
KKA0102-SSLB5C,73239390,5
KKA0249-SCM4,84801000,18
KKA0293-SOBWBR,39241090,18
KKBT0283-HJ367,59069990,5
KKHE0103-VDF3L,84198190,18
KKHRE0115-BMSBCWT,83100090,18
KKHRE0116-BMSBNP,83100090,18
KKHRE0117-GMSBCWT,83100090,18
KKHRE0120-SMSBCWT,83100090,18
KKHRE0121-SMSBNP,83100090,18
KKA0111-LTHR,39241090,18
KKSP0260-OS35,84198190,18
KKSP0340-SSPM2,84799090,18
KKA0320-VALSPG,39241090,18
